"pid","description","tid"
"15862","Increased interstitial connective tissue","50"
"15863","Mental retardation (31%)","57"
"15864","Hyperpyrexia, usually associated with anesthesia","61"
"15865","See also DA2B ","73"
"15866","Nephroblastoma","39"
"15867","Majority of Wilms tumors are sporadic","73"
"15868","Onset between 2-5 years","73"
"15869","Rare adult cases reported","73"
"15870","5-10% of all Wilms tumor are bilateral","73"
"15871","21% of hereditary Wilms tumor are bilateral","73"
"15872","Associated with several congenital malformation syndromes (WAGR","73"
"15873","Two-step mutation hypothesis (germline mutation followed by somatic mutation or two sequential somatic mutations)","73"
"15874","Loss of tumor suppressor gene","73"
"15875","Associated with several loci on chromosomes 11p15 (WT2,","73"
"15876","Impaired pupillary constriction to light","9"
"15877","Dry mouth","11"
"15878","Flared ribs","24"
"15879","Distended bladder","41"
"15880","Fetal urinary tract obstruction","41"
"15881","Wrinkled abdominal skin","50"
"15882","Aplasia cutis congenita over parietal area","6"
"15883","Vascular malformations","16"
"15884","Poland sequence","23"
"15885","Imperforate vaginal hymen","38"
"15886","Skull defect at vertex","43"
"15887","Terminal transverse defects, asymmetric (minimal to absence of a limb)","46"
"15888","Malformed toes","48"
"15889","Aplasia cutis congenita over posterior parietal area","50"
"15890","Aplasia cutis congenita on trunk or limbs","50"
"15891","Thin, hyperpigmented skin","50"
"15892","Dilated scalp veins radiating from periphery of scalp defect","50"
"15893","Single-multiple round-oval areas of alopecia in parietal area","54"
"15894","Encephalocele (uncommon)","57"
"15895","Mental retardation (uncommon)","57"
"15896","Periventricular calcifications","57"
"15897","Periventricular leukomalacia (reported in 2 patients)","57"
"15898","Cortical dysplasia","57"
"15899","Phenotype is classically defined as aplasia cutis and transverse limb defects","73"
"15900","Mean male adult height, 131 cm","2"
"15901","Mean female height, 124 cm","2"
"15902","Megalencephaly","6"
"15903","Recurrent otitis media in infancy and childhood","8"
"15904","Generalized joint laxity","42"
"15905","Jugular bulb dehiscence (in some patients)","43"
"15906","Foramen magnum stenosis","43"
"15907","Lumbar kyphosis in infancy","44"
"15908","Exaggerated lumbar lordosis during childhood and adulthood","44"
"15909","Congenital spinal stenosis due to short pedicles, especially lumbar","44"
"15910","Progressive interpediculate narrowing in lumbar spine","44"
"15911","Dysplastic ilium","45"
"15912","Narrow sacroiliac groove","45"
"15913","Flat rooted acetabulae","45"
"15914","Bowing of legs","46"
"15915","Trident hand","47"
"15916","Hydrocephalus, occasional","57"
"15917","Hypotonia in infancy and early childhood","57"
"15918","Brain stem compression","57"
"15919","Autosomal dominant with complete penetrance","73"
"15920","80% cases new mutations","73"
"15921","99+% of the mutations are FGFR3, G380R ","73"
"15922","Juvenile posterior subcapsular lenticular opacities","9"
"15923","Juvenile cortical cataract","9"
"15924","Epiretinal membranes","9"
"15925","Retinal hamartoma","9"
"15926","No Lisch nodules","9"
"15927","Occasional cafe-au-lait spots","50"
"15928","Occasional neurofibroma","50"
"15929","Schwannoma","50"
"15930","Vestibular Schwannoma (over 90% of patients)","65"
"15931","Neurofibroma","65"
"15932","Incidence of 1 in 25,000 livebirths","73"
"15933","Nearly 100% penetrance by 60 years of age","73"
"15934","Approximately half of the mutations are de novo","73"
"15935","Deceleration of linear growth during childhood","2"
"15936","Normal birth length","3"
"15937","Acrobrachycephaly","6"
"15938","Late-closing fontanel","6"
"15939","High, broad forehead","7"
"15940","Abnormal semicircular canals","8"
"15941","Choanal stenosis or atresia","10"
"15942","Strabismus","10"
"15943","Overriding aorta","16"
"15944","Anomalous tracheal cartilage","20"
"15945","Ectopic anus","33"
"15946","Craniosynostosis (coronal)","43"
"15947","Jugular foraminal stenosis","43"
"15948","Cervical vertebrae fusion, usually at C5 to C6","44"
"15949","Synostosis of radius and humerus","46"
"15950","Fusion of carpal bones, especially capitate and hamate","46"
"15951","Symmetric osseous and/or cutaneous syndactyly of hands","47"
"15952","Broad distal phalanx of thumb","47"
"15953","Polydactyly, preaxial (rare)","47"
"15954","Polydactyly, postaxial (rare)","47"
"15955","Symmetric osseous and/or cutaneous syndactyly of feet","48"
"15956","Broad distal hallux","48"
"15957","Polydactyly, preaxial (rare)","48"
"15958","Polydactyly, postaxial (rare)","48"
"15959","Moderate to severe acne","50"
"15960","Single nail common to digits 2 to 4","53"
"15961","Limbic malformations","57"
"15962","Low-lying cerebellar tonsils","57"
"15963","Posterior fossa arachnoid cyst","57"
"15964","De novo mutation in some cases","73"
"15965","Acrocephaly","6"
"15966","High, flat forehead","7"
"15967","Low frontal hairline","7"
"15968","Long and prominent ear crus","8"
"15969","Apical cartilage deformity","8"
"15970","Plagiocephaly (asymmetry of orbits)","9"
"15971","S-shaped blepharoptosis","9"
"15972","Lacrimal duct abnormalities","9"
"15973","Thin, long, pointed nose","10"
"15974","Intracranial hypertension due to multisutural cranial fusion","16"
"15975","Late closing fontanelles","43"
"15976","Craniosynostosis of coronal, lambdoid, and/or metopic sutures","43"
"15977","Acrocephaly","43"
"15978","Small ilia","45"
"15979","Large ischia","45"
"15980","Syndactyly, mild (often 2nd-3rd fingers)","47"
"15981","Bifid terminal phalanges (digits 2 and 3)","47"
"15982","Absent first metatarsal","48"
"15983","Syndactyly (often 3rd-4th toes)","48"
"15984","Increased risk of breast cancer in women","65"
"15985","Few patients with mild to moderate mental retardation","73"
"15986","Incidence of 1 in 25,000 to 1 in 50,000 newborns","73"
"15987","Phenotypic overlap with Muenke syndrome ","73"
"15988","Clover-leaf skull (in some patients)","6"
"15989","Choanal atresia or stenosis","10"
"15990","Cartilaginous trachea","20"
"15991","Laryngo-, tracheo-, bronchomalacia","20"
"15992","Craniosynostosis (coronal with or without sagittal suture)","43"
"15993","Radiohumeral synostosis of elbow","46"
"15994","Broad thumb","47"
"15995","Partial syndactyly of fingers and toes","47"
"15996","Brachymesophalangy of hands and feet","47"
"15997","Broad great toe","48"
"15998","Occasional mental retardation","57"
"15999","Three subtypes of Pfeiffer syndrome have been described - Type 1: 'mild' autosomal dominant","73"
"16000","Type 2: cloverleaf skull, elbow ankylosis, early demise, sporadic","73"
"16001","Type 3: craniosynostosis, early demise, sporadic","73"
"16002","Brachymelic dwarfism (upper limbs greater than lower limbs)","2"
"16003","Growth retardation, mild to moderate, prenatal onset","4"
"16004","Blue eyes (Japanese patients)","9"
"16005","Broad, upturned nose","10"
"16006","Dimpled nasal tip","10"
"16007","Epiphyseal stippling in neonates (lumbosacral and cervical bodies, carpus, tarsus, proximal humerus, terminal phalanges, knees, hips)","42"
"16008","Calvarial hyperostosis","43"
"16009","Hypoplastic maxilla","43"
"16010","Narrow interpediculate distances","44"
"16011","Small vertebrae","44"
"16012","Dorsal hand wrinkling","50"
"16013","Mental retardation (IQ 24-85) (variable)","57"
"16014","Multiple hormone resistance","62"
"16015","Irregular menses","62"
"16016","Low or normal serum calcium","72"
"16017","Normal or increased serum phosphate","72"
"16018","Increased urinary cAMP excretion","72"
"16019","Increased serum thyrotropin","72"
"16020","Increased serum calcitonin","72"
"16021","Epiphyseal stippling is gone by 8 months of age","73"
"16022","Not all patients have facial dysmorphism","73"
"16023","Multiple, flat, skin-colored warty papules (2-4mm in diameter on dorsum hands, feet, knees, and elbows)","50"
"16024","Punctate keratoses (palms and soles)","50"
"16025","Prominent granular cell layer","51"
"16026","No acantholysis or dyskeratosis","51"
"16027","Longitudinal red and white lines","53"
"16028","Nail fragility","53"
"16029","Distal V-shaped notching","53"
"16030","Hyperkeratosis often present at birth but may appear later","73"
"16031","Increased height","2"
"16032","Mandibular enlargement","7"
"16033","Galactorrhea from increased serum prolactin","25"
"16034","Enlarged hands","47"
"16035","Enlarged feet","48"
"16036","Anterior pituitary adenoma","57"
"16037","Cushing disease due to increased ACTH secretion (less common)","62"
"16038","Somatotrophinoma","65"
"16039","Prolactinoma","65"
"16040","Increased serum growth hormone levels","72"
"16041","Increased serum IGF1","72"
"16042","Increased serum prolactin","72"
"16043","Onset in second or third decades","73"
"16044","Short stature, severe","2"
"16045","Pseudomuscular build","4"
"16046","Mild facial anomalies","7"
"16047","Cone-shaped epiphyses","46"
"16048","Internal notch of femoral head","46"
"16049","Short, stubby metacarpals","47"
"16050","Short, stubby phalanges","47"
"16051","Second metacarpal notched proximally on radial side","47"
"16052","Fifth metacarpal notched on ulnar side","47"
"16053","Thick skin","50"
"16054","Well-defined eyebrows","54"
"16055","Growth cartilage disorganized, with islands of cells and abnormal collagen arrangement","72"
"16056","Bathrocephaly","6"
"16057","Early tooth loss","12"
"16058","Congenital heart disease (variable)","15"
"16059","Intestinal malrotation (less common)","33"
"16060","Bathrocephaly","43"
"16061","Failure of suture ossification","43"
"16062","Thickened skull vault","43"
"16063","Elongated sella turcica","43"
"16064","Progressive basilar impression","43"
"16065","Narrow disc space","44"
"16066","Biconcave vertebrae","44"
"16067","Tall lumbar vertebral bodies","44"
"16068","Cervical instability","44"
"16069","Dislocation of radial head","46"
"16070","Long, bowed fibulae","46"
"16071","Serpentine fibulae","46"
"16072","Pseudoclubbing","47"
"16073","Short distal digits","47"
"16074","Crowded carpal bones","47"
"16075","Short distal digits","48"
"16076","Hirsutism","50"
"16077","Curved nails","53"
"16078","Thick, straight hair","54"
"16079","Oligoasthenoteratozoospermia","37"
"16080","Abnormal sperm morphology","37"
"16081","Globozoospermia, total","37"
"16082","Reduced or absent acrosin in the acrosome","37"
"16083","One Ashkenazi Jewish family with globozoospermia and SPATA16 mutation has been described (last curated April 2015)","73"
"16084","Cupping and flaring of costochondral junctions","23"
"16085","Mesangial sclerosis","39"
"16086","Pelvic dysplasia","45"
"16087","Thick growth arrest lines","46"
"16088","Idiopathic thrombocytopenia","63"
"16089","Frequent fungal, viral, and opportunistic infections","64"
"16090","Absent B cells","64"
"16091","Absent T cells","64"
"16092","Absent or reduced CD3+ cells","64"
"16093","Absent or small dysplastic thymus","64"
"16094","Absent specific antibody response","64"
"16095","B-cell lymphoma","65"
"16096","Reduced erythrocyte adenosine deaminase activity","72"
"16097","Low or absent IgA levels","72"
"16098","Low or absent IgM levels","72"
"16099","Absent IgG2 subclass","72"
"16100","CD4+/CD8+ ratio often reversed","72"
"16101","Elevated serum levels of adenosine","72"
"16102","Elevated serum levels of 2-prime deoxyadenosine","72"
"16103","Late onset combined immunodeficiency with allelic variant","73"
"16104","85-90% with manifestations in first months of life","73"
"16105","10-15% with primarily defects of cellular immunity, not manifesting until >2yrs of age","73"
"16106","Recurrent bacterial, viral, and fungal infections","73"
"16107","Treatment with polyethylene glycol-modified bovine ADA, bone marrow transplantation, and/or gene therapy","73"
"16108","Prominent metopic suture","6"
"16109","Long smooth philtrum","7"
"16110","Psychomotor delay, severe","57"
"16111","Poor language and speech development","57"
"16112","Brisk reflexes","57"
"16113","Stereotypic movements","59"
"16114","Happy demeanor (reported in 1 family)","59"
"16115","Inappropriate laughter (reported in 1 family)","59"
"16116","Increased succinyladenosine (S-Ado) in serum, urine, and CSF","72"
"16117","Increased succinylaminoimidazole carboxamide ribotide (SAICAr)","72"
"16118","Decreased S-Ado:SAICAr ratio","72"
"16119","Adenylosuccinase deficiency","72"
"16120","Highly variable phenotype, ranging from neonatal encephalopathy to mild mental retardation with autistic features","73"
"16121","The lower the S-Ado:SAICAr ratio, the more severe the phenotype","73"
"16122","Lacrimal duct obstruction","9"
"16123","Dysplastic teeth","12"
"16124","Premature loss of secondary teeth (<25 years)","12"
"16125","Mammary gland hypoplasia","25"
"16126","Ectodermal dysplasia","50"
"16127","Atrophic skin","50"
"16128","Freckling","50"
"16129","Photosensitive skin","50"
"16130","Dermatitis","50"
"16131","Adermatoglyphia","50"
"16132","Thin scalp hair","54"
"16133","Premature scalp hair loss (>30 years)","54"
"16134","ADULT is an acronym for Acro-Dermato-Ungual-Lacrimal-Tooth","73"
"16135","Allelic disorder to ectrodactyly, ectodermal dysplasia, and cleft lip/palate syndrome 3 (EEC3,","73"
"16136","Allelic disorder to limb-mammary syndrome (LMS,","73"
"16137","Allelic disorder to ankyloblepharon-ectodermal defects, cleft lip/palate syndrome (AEC,","73"
"16138","Allelic disorder to Rapp-Hodgkin syndrome (RHS,","73"
"16139","Allelic disorder to split-hand/foot malformation 4 (SHFM4,","73"
"16140","Hearing loss, sensorineural, bilateral profound congenital","8"
"16141","White eyelashes","9"
"16142","White eyebrows","9"
"16143","No heterochromia iridis","9"
"16144","Hypopigmented fundi","9"
"16145","White-blonde hair","54"
"16146","Allelic to Waardenburg syndrome, type IIA ","73"
"16147","Short metacarpals (especially 4th and 5th)","47"
"16148","Short metatarsals (especially 4th and 5th)","48"
"16149","Subcutaneous ossifications","50"
"16150","Cognitive deficits","57"
"16151","Hypocalcemic tetany","57"
"16152","Basal ganglion calcification","57"
"16153","Calcified choroid plexus","57"
"16154","Hypocalcemic tetany","58"
"16155","Pseudohypoparathyroidism","62"
"16156","Elevated serum parathyroid hormone (PTH) level","72"
"16157","Low urinary cyclic AMP response to PTH administration","72"
"16158","Reduced erythrocyte Gs activity","72"
"16159","Caused by inheritance of the mutation on the maternal allele (imprinting)","73"
"16160","See also pseudopseudohypoparathyroidism ","73"
"16161","See also pseudohypoparathyroidism type Ib ","73"
"16162","Hypertension (suppressible by glucocorticoid treatment)","16"
"16163","Increased aldosterone","62"
"16164","Normal or decreased serum potassium","72"
"16165","Increased 18-oxocortisol","72"
"16166","Increased 18-hydroxycortisol","72"
"16167","Variable phenotypic expression","73"
"16168","Chimeric CYP11B1/CYP11B2 gene is an anti-Lepore-like fusion product","73"
"16169","Pigmentary changes on the shins (1 patient)","50"
"16170","Focal palmoplantar keratoderma on weight-bearing areas","50"
"16171","Transgradient palmoplantar keratoderma on dorsal hands and feet","50"
"16172","Hyperkeratosis of perianal areas, auricles, knuckles, knees, and ankles","50"
"16173","Keratosis pilaris of trunk and extremities","50"
"16174","Spiky hyperkeratotic lesions on ankles, elbows, and popliteal fossae","50"
"16175","Orthohyperkeratosis","51"
"16176","Follicular plugging","51"
"16177","Perivascular lymphocytic infiltration in papillary dermis","51"
"16178","Leukonychia totalis","53"
"16179","Dystrophic nails, mild","53"
"16180","Alopecia, congenital","54"
"16181","Sparse, short, brittle hair on scalp","54"
"16182","Scant body hair","54"
"16183","Multiple pits on electron microscopy","54"
"16184","Cuticular weathering on electron microscopy","54"
"16185","Hematuria, gross and microscopic","39"
"16186","Hearing loss is variable","73"
"16187","Abnormal extraocular movements","9"
"16188","Upward eye deviation during episodes","9"
"16189","Hemiplegia, episodic","57"
"16190","Quadriplegia, episodic","57"
"16191","Cognitive decline, progressive","57"
"16192","Autonomic involvement affecting limbs during episodes","57"
"16193","Generalized tonic-clonic seizures in 50%","57"
"16194","Neurologic regression after prolonged episodes","57"
"16195","Headache is usually not a symptom","57"
"16196","Onset before 18 months of age","73"
"16197","Favorable response to flunarizine","73"
"16198","Familial hemiplegic migraine-2 (FHM2,","73"
"16199","Presenile and senile dementia","57"
"16200","Long tract signs","57"
"16201","Neurofibrillary tangles composed of disordered microtubules","57"
"16202","Enamel has horizontal row of pits or linear depressions","12"
"16203","Incisal edge or occlusal surface not usually involved","12"
"16204","Grooved enamel","12"
"16205","Tooth sensitivity","12"
"16206","Teeth may undergo post-eruptive changes","73"
"16207","Premature stroke","57"
"16208","Generalized amyloid deposition","72"
"16209","Abnormally low cerebrospinal fluid cystatin C","72"
"16210","Onset 3rd to 4th decade of life","73"
"16211","Death before age 40","73"
"16212","Icelandic families","73"
"16213","Amyloid deposition in the vitreous humor (variable expression)","9"
"16214","Conduction block","15"
"16215","Gastrointestinal dysautonomia","33"
"16216","Erectile dysfunction","35"
"16217","Muscle weakness due to peripheral neuropathy","55"
"16218","Deafness","57"
"16219","Cerebrospinal fluid (CSF) with increased protein","57"
"16220","Amyloid deposition in the leptomeningeal vessels, brainstem, spinal cord","57"
"16221","Diffuse leptomeningeal enhancement seen on MRI","57"
"16222","Sensory axonal polyneuropathy","58"
"16223","Ascending numbness and weakness","58"
"16224","Neuropathic, cardiac, leptomeningeal, and ocular predominance may occur","73"
"16225","Systemic amyloid deposition may occur","73"
"16226","Muscle weakness and atrophy","55"
"16227","Ocular motility spared","57"
"16228","Upper and lower neuron manifestations","57"
"16229","Bulbar dysfunction (e.g. dysarthria and dysphagia)","57"
"16230","Sleep apnea","57"
"16231","Pseudobulbar palsy (e.g. involuntary weeping or laughter)","57"
"16232","Pathologic changes in anterior horn cells and lateral corticospinal tracts","57"
"16233","Reduced cytosolic superoxide dismutase-1 (SOD1)","72"
"16234","Approximately 10% of ALS cases are familial","73"
"16235","Supranuclear gaze palsy (less common)","9"
"16236","Amytrophic lateral sclerosis","57"
"16237","Motor neuron disease","57"
"16238","Dyscalculia","57"
"16239","Brain atrophy, particularly of the frontal and temporal lobes","57"
"16240","Neuropathology shows neuronal degeneration","57"
"16241","Superficial laminar spongiosis","57"
"16242","Myelin loss in the corticospinal tracts","57"
"16243","TDP43-positive neuronal and glial cytoplasmic inclusions","57"
"16244","Poor judgement","59"
"16245","Patients can have ALS, FTD, or both","73"
"16246","Intrauterine growth retardation, mild","4"
"16247","Absent radial pulse","16"
"16248","Clavicle agenesis","24"
"16249","Bifid thoracic vertebrae","44"
"16250","Hypoplastic sacral vertebrae","44"
"16251","Hypoplastic coccygeal vertebrae","44"
"16252","Mild radial hypoplasia","46"
"16253","Bifid thumbs","47"
"16254","Absent thumbs","47"
"16255","Pallor","50"
"16256","Anemia, congenital hypoplastic, moderate-severe (normochromic, macrocytic)","63"
"16257","Neutropenia, mild","63"
"16258","Elevated fetal hemoglobin (HbF)","63"
"16259","Presence of i erythrocyte antigen","63"
"16260","Increased myeloid to erythroid ratio (M:E ratio) 10:1-200:1","63"
"16261","Myelodysplastic syndrome","65"
"16262","Elevated erythrocyte adenosine deaminase (eADA)","72"
"16263","Age at diagnosis 2-4 months","73"
"16264","40% patients have associated abnormalities","73"
"16265","Variable expressivity in families","73"
"16266","Obesity (older children)","3"
"16267","Occipital groove","6"
"16268","Strabismus, most frequently exotropia","9"
"16269","Ocular hypopigmentation","9"
"16270","Refractive errors (astigmatism, hyperopia, myopia)","9"
"16271","Excessive drooling","11"
"16272","Feeding difficulties in neonatal period","33"
"16273","Excessive chewing/mouthing behaviors","33"
"16274","Abnormal food-related behaviors","33"
"16275","Hypopigmentation (seen only in deletion cases)","50"
"16276","Absent speech","57"
"16277","Ataxia with jerky arm movements","57"
"16278","Clumsiness, unsteadiness","57"
"16279","Tremor of limbs","57"
"16280","Characteristic arm position with wrist and elbow flexion","57"
"16281","Abnormal sleep-wake cycles","57"
"16282","Decreased need for sleep","57"
"16283","Characteristic electroencephalogram (EEG) discharges","57"
"16284","Mild cortical atrophy on CT or MRI","57"
"16285","Paroxysmal laughter","59"
"16286","Easily excitable","59"
"16287","Attraction to/fascination with water, crinkly items (paper, plastic)","59"
"16288","Onset between 6 and 12 months of age","73"
"16289","Increased sensitivity to heat","73"
"16290","Incidence of 1 in 10,000 to 1 in 20,000","73"
"16291","70% due to de novo maternal deletion of 15q11.2-q13","73"
"16292","2% due to paternal uniparental disomy of 15q11.2-q13","73"
"16293","2-3% due to imprinting defects","73"
"16294","25% due to mutations in UBE3A ","73"
"16295","Pharyngeal edema","18"
"16296","Laryngeal edema","19"
"16297","Intestinal edema","33"
"16298","Erythema marginatum","50"
"16299","Episodic, nonpruritic, nonurticarial, nonpitting edema","55"
"16300","Peripheral axonal neuropathy, distal, vasculitic","58"
"16301","Sural nerve biopsy shows axonal degeneration","58"
"16302","Impaired sensation of all modalities, distal","58"
"16303","C1 esterase inhibitor deficiency","72"
"16304","Low level of C4 and C2","72"
"16305","Symptoms typically begin in childhood","73"
"16306","Prevalence estimated at 1 in 50,000","73"
"16307","Highly variable frequency and severity of attacks","73"
"16308","Trauma, anxiety, and/or stress can precipitate or aggravate edema","73"
"16309","Laryngeal edema can result in asphyxiation","73"
"16310","Associated with increased frequency of autoimmune diseases","73"
"16311","Normal saliva production","11"
"16312","No teeth abnormalities","12"
"16313","Normal morphology of sweat glands","51"
"16314","Normal number of sweat glands","51"
"16315","No nail abnormality","53"
"16316","No hair abnormality","54"
"16317","Normal electrolyte levels","72"
"16318","Normal S-amylase levels","72"
"16319","Severe heat intolerance","73"
"16320","Five affected individuals in one consanguineous Pakistani with ITPR2 mutation has been described (last curated April 2015)","73"
"16321","Peter's anomaly (congenital anomaly of the anterior segment)","9"
"16322","Reduced olfaction","10"
"16323","Hypoplastic or absent anterior commissure","57"
"16324","Absent pineal gland (in some patients)","57"
"16325","Hypoplastic or absent olfactory bulb (rare)","57"
"16326","Polymicrogyria (rare)","57"
"16327","Scalp erosions","6"
"16328","Atretic external auditory canal","8"
"16329","Cup-shaped auricles","8"
"16330","Ankyloblepharon filiforme adnatum","9"
"16331","Sparse to absent eyelashes","9"
"16332","Blepharitis","9"
"16333","Broadened nasal bridge","10"
"16334","Supernumerary nipples","25"
"16335","Vaginal dryness","38"
"16336","2-3 toe soft tissue syndactyly","48"
"16337","Red, cracking, peeling skin at birth","50"
"16338","Palmar and plantar keratoderma","50"
"16339","Partial anhidrosis","50"
"16340","Scalp erosions","50"
"16341","Wiry, sparse hair","54"
"16342","Sparse to absent eyelashes","54"
"16343","Sparse body hair","54"
"16344","Allelic to EEC3 ","73"
"16345","Anterior uveitis","9"
"16346","Aortitis","15"
"16347","Cardiac conduction abnormalities","15"
"16348","Inflammatory bowel disease (Crohns disease and ulcerative colitis)","33"
"16349","Accentuated kyphosis","44"
"16350","Back stiffness","44"
"16351","Nocturnal back pain","44"
"16352","Ankylosing spondylitis","44"
"16353","Sacroiliitis","44"
"16354","'Bamboo' spine","44"
"16355","Arthritis (hip)","45"
"16356","Peripheral arthritis (oligoarticular or polyarticular)","46"
"16357","Peripheral enthesitis","46"
"16358","Psoriasis","50"
"16359","HLA-B27 haplotype association (95% patients)","72"
"16360","Rheumatoid factor negative","72"
"16361","Overall prevalence is between 0.5 and 14 per 100,000 people per year","73"
"16362","Genetic heterogeneity (see spondyloarthropathy, susceptibility to, 2","73"
"16363","Spondyloarthropathy includes a spectrum of related disorders, including, 1 - ankylosing spondylitis (AS), 2 - a subset of psoriatic arthritis (PsA), 3 - reactive arthritis (ReA), 4 - arthritis associated with inflammatory bowel disease (AIBD), 5 - undiffe","73"
"16364","Cataracts, multiple types","9"
"16365","Corneal opacities of variable size and density","9"
"16366","Iris adhesions (synechiae)","9"
"16367","Prominent and/or displaced Schwalbe line","9"
"16368","Elevated intraocular pressure","9"
"16369","Grade III or IV angles by gonioscopy","9"
"16370","Corneal endothelial abnormalities seen on slit lamp examination","9"
"16371","Reduced total endothelial cell counts seen on specular microscopy","9"
"16372","Donut-shaped configurations seen on specular microscopy","9"
"16373","Large extracellular spaces of endothelium seen on specular microscopy","9"
"16374","Absent Descemet membrane (reported in 1 patient)","9"
"16375","Absent endothelium in central cornea seen on electron microscopy (reported in 1 patient)","9"
"16376","Absent Descemet layer in both central and peripheral cornea (reported in 1 patient)","9"
"16377","Increased corneal tonofilaments (reported in 1 patient)","9"
"16378","Increased corneal desmosomes (reported in 1 patient)","9"
"16379","Fragmented basal lamina (reported in 1 patient)","9"
"16380","Bimodal collagen fiber diameter of corneal stroma (reported in 1 patient)","9"
"16381","Variable features present","73"
"16382","Markedly variable expressivity within families","73"
"16383","Histopathology findings from report of 1 patient","73"
"16384","Overfolding of superior helix","8"
"16385","Satyr ear","8"
"16386","Duane anomaly (rare)","9"
"16387","Anterior placement of anus","33"
"16388","Rectovaginal/rectoperineal fistula","33"
"16389","Prominent midline perineal raphe","35"
"16390","Vaginal aplasia","38"
"16391","Hypoplastic kidneys","39"
"16392","Dysplastic kidneys","39"
"16393","Urethral valves","41"
"16394","Bifid thumb","47"
"16395","Triphalangeal thumb","47"
"16396","Pseudoepiphyses of second metacarpal","47"
"16397","Fusion of triquetrum and hamate","47"
"16398","Absent triquetrum and navicular bones","47"
"16399","2-3 and 3-4 finger syndactyly","47"
"16400","Fusion of metatarsals","48"
"16401","Absent/hypoplastic third toe","48"
"16402","3-4 toe syndactyly","48"
"16403","Mental retardation (rarely noted)","57"
"16404","Aplasia cutis congenita over the scalp vertex","6"
"16405","Decreased ossification underlying the skin defect (in 20 to 30% of patients)","43"
"16406","Circumscribed transparent membrane on the scalp vertex may be ulcerated (other areas of the body are rarely involved)","50"
"16407","One 5-generation ACC family with mutation in BMS1 has been described (last curated August 2014)","73"
"16408","Cardiomyopathy, right ventricular","15"
"16409","Fibrofatty replacement of right ventricular myocardium","15"
"16410","Ventricular arrhythmia (PVC, NSVT, and VT)","15"
"16411","Premature sudden cardiac death","15"
"16412","Stiff shoulders","24"
"16413","Hip flexion contractures","45"
"16414","Congenital hip dislocations","45"
"16415","Decreased hip abduction","45"
"16416","Knee flexion contractures","46"
"16417","Tightly clenched fists (neonate)","47"
"16418","Camptodactyly (adult)","47"
"16419","Ulnar deviation (adult)","47"
"16420","Calcaneovalgus deformities","48"
"16421","Absent distal interphalangeal creases","50"
"16422","Marked intrafamilial and interfamilial variability","73"
"16423","Most frequently affected joints - hands (98%) and feet (88%)","73"
"16424","Genetic heterogeneity (see 601680)","73"
"16425","Decreased facial expression","7"
"16426","Duane anomaly","9"
"16427","Abnormal retinal pigmentation","9"
"16428","Macular retinal folds","9"
"16429","Reduced ability to open mouth (in some patients)","11"
"16430","Hunched, anteverted shoulders","23"
"16431","Spine stiffness","44"
"16432","Limited forearm rotation","46"
"16433","Absent anterior cruciate ligament bilaterally (in some patients)","46"
"16434","Congenital finger contractures","47"
"16435","Absent phalangeal creases","47"
"16436","Poorly formed palmar creases","47"
"16437","Limited wrist extension","47"
"16438","Hypermobile first metacarpophalangeal joint (in some patients)","47"
"16439","Absent phalangeal creases","50"
"16440","Poorly formed palmar creases","50"
"16441","Dimples over large joints","50"
"16442","Decreased muscle mass (especially in lower limbs)","55"
"16443","Weak or absent tendon reflexes of knees and ankles (in some patients)","57"
"16444","Occasional conductive hearing loss","8"
"16445","Occasional cataracts","9"
"16446","Membranous (type I) vitreous phenotype","9"
"16447","Mild spondyloepiphyseal dysplasia","42"
"16448","Platyspondyly with anterior wedging","44"
"16449","Flat, irregular femoral epiphyses","46"
"16450","Arthropathy","46"
"16451","Ictal and interictal diplopia","9"
"16452","Suppression of vestibuloocular reflex","9"
"16453","Interictal downbeat nystagmus","9"
"16454","Ocular abnormalities often persist between attacks","9"
"16455","Unsteadiness, episodic","57"
"16456","Vertigo","57"
"16457","Myotonia","57"
"16458","Weakness","57"
"16459","Interictal downbeat nystagmus","57"
"16460","Interictal vestibular dysfunction","57"
"16461","Interictal dystonia may occur later in disease course","57"
"16462","Interictal ataxia may occur later in disease course","57"
"16463","EEG with paroxysmal activity","57"
"16464","Atrophy of cerebellar vermis","57"
"16465","Most common episodic ataxia syndrome","73"
"16466","Onset may occur in adulthood","73"
"16467","Progressive ataxia","73"
"16468","Episodes last from several hours to days","73"
"16469","Frequency of episodes ranges from several per week to several per year","73"
"16470","Symptoms precipitated by sudden movement, stress, exertion, exercise, fatigue, caffeine, alcohol, cigarettes","73"
"16471","Favorable response of episodic attacks to acetazolamide","73"
"16472","Phenotypic overlap with FHM1 ","73"
"16473","Head jerks","6"
"16474","Ocular movement abnormalities","9"
"16475","Supranuclear gaze palsy","9"
"16476","Pes cavus MUSCLE : Leg muscle stiffness","48"
"16477","Decreased vibration sense in the lower limbs (in some patients)","58"
"16478","Onset between 10 and 20 years of age","73"
"16479","Prevalent in Newfoundland","73"
"16480","Short-limbed dwarfism","2"
"16481","Prominent globes","9"
"16482","Narrow thoracic cage","23"
"16483","Abnormal segmentation","44"
"16484","Thoracic platyspondyly","44"
"16485","Coronal clefts","44"
"16486","Sagittal clefts","44"
"16487","Short humeri with proximal clubbing and distal tapering","46"
"16488","Short, bowed radius","46"
"16489","Absent-hypoplastic ulnae","46"
