"pid","description","tid","des_ch"
"16949","Calcaneal epiphyseal stippling","48","跟骨骨骺点彩"
"16950","Mental retardation (50% patients, likely secondary to neonatal hypoxia)","57","精神发育迟滞（50％的患者，可能继发于新生儿缺氧）"
"16951","Forty percent of patients die in the first year","73",
"16952","De novo mutation (in most patients)","73",
"16953","Fusion of cervical vertebrae, most often C2-3","44","颈椎融合，最常见的是C2-3"
"16954","Klippel-Feil anomaly may be a part of other syndromes, including MURCS ","73",
"16955","Tonically dilated pupils (in some patients)","9","瞳孔散大（部分患者）"
"16956","Adie pupil","9","阿迪瞳孔"
"16957","'Steppage' gait","58","'Steppage'步态"
"16958","Cold-induced muscle cramps","58","感冒引起的肌肉痉挛"
"16959","'Onion bulb' formations on nerve biopsy","58","神经活检的'洋葱鳞茎'形成"
"16960","Myelin outfoldings may occur in a subset of patients","58","髓鞘外翻可能发生在一部分患者中"
"16961","Genetic heterogeneity (see CMT1A","73",
"16962","Clinical overlap with Dejerine-Sottas syndrome (DSS,","73",
"16963","See CMT4A ","73",
"16964","Allelic disorders with overlapping phenotypes include DSS, congenital hypomyelination (CHN,","73",
"16965","Distal sensory impairment (20-50%)","58","远端感觉障碍（20-50％）"
"16966","Normal or mildly decreased motor nerve conduction velocity (NCV) (greater than 38 m/s)","58","正常或轻度下降的运动神经传导速度（NCV）（大于38 m / s）"
"16967","Axonal atrophy on nerve biopsy","58","神经活检的轴索萎缩"
"16968","Axonal degeneration/regeneration on nerve biopsy","58","轴突变性/神经活检再生"
"16969","Small 'onion bulbs' may be present","58","可能存在小'洋葱鳞茎'"
"16970","Decreased number of myelinated fibers may be found","58","可以发现有髓纤维数量减少"
"16971","Peak age of onset in second decade (range childhood to 50 years)","73",
"16972","May progress to upper limbs","73",
"16973","Genetic heterogeneity (see CMT2A2","73",
"16974","For autosomal recessive forms, see CMT2B1","73",
"16975","Genetic heterogeneity (see CMT1B,","73",
"16976","Allelic disorders with overlapping phenotypes include Dejerine-Sottas syndrome (DSS,","73",
"16977","Pes calcaneovarus","48","Calcaneovarus脚"
"16978","Poor balance","58","平衡不佳"
"16979","Decreased motor nerve conduction velocity (NCV)","58","运动神经传导速度降低（NCV）"
"16980","Childhood onset","73",
"16981","Allelic disorders with overlapping phenotypes include CMT1A ","73",
"16982","Prominent zygomatic arch","7","突出的颧弓"
"16983","Eccentric or ectopic pupils","9","偏心或异位瞳孔"
"16984","Chorioretinal atrophy","9","脉络膜视网膜萎缩"
"16985","Retinal pigment clumping","9","视网膜色素聚集"
"16986","Axenfeld anomaly","9","Axenfeld异常"
"16987","Choroidal folds","9","脉络膜褶皱"
"16988","Anomalous optic disc","9","异常视盘"
"16989","Long nose with bulbous tip","10","长鼻子与球根尖"
"16990","Peripheral pulmonary artery stenosis","15","周围肺动脉狭窄"
"16991","Cerebrovascular accidents","16","脑血管意外"
"16992","Moyamoya syndrome","16","Moyamoya syu d da gu"
"16993","Intrahepatic duct deficiency","29","肝内胆管缺损"
"16994","Liver disease, progressive","29","肝病，进展性"
"16995","Renal involvement (in 39%)","39","肾脏受累（39％）"
"16996","Vesicoureteral reflux","39","膀胱输尿管反流"
"16997","Urinary obstruction","39","尿路梗阻"
"16998","Renal mesangiolipidosis","39","肾系膜脂肪变性"
"16999","Medullary cystic disease","39","髓样囊性病"
"17000","Butterfly vertebral arch","44","蝴蝶椎弓"
"17001","Xanthomas (in some patients)","50",
"17002","Mental retardation, mild, (in some patients)","57","精神发育迟滞，轻度（某些患者）"
"17003","Papillary thyroid carcinoma","65",
"17004","Increased conjugated bilirubin","72",
"17005","Hypercholesterolemia","72",
"17006","Prevalence of 1 in 70,000","73",
"17007","Round face due to facial swelling","7","由于面部肿胀导致的圆脸"
"17008","Broad cheeks due to facial swelling","7","由于面部肿胀，脸颊宽阔"
"17009","Symmetric, hard, painless, swelling of the jaw region","7","对称，坚硬，无痛，下颌区域肿胀"
"17010","Maxillary enlargement","7","上颌骨增大"
"17011","Enlarged submandibular lymph nodes","7","下颌下淋巴结肿大"
"17012","Upward displacement of the globes","9","地球向上移位"
"17013","Lower eyelid retraction","9","下眼睑收缩"
"17014","Orbital mass","9","轨道质量"
"17015","Optic neuropathy","9","视神经病变"
"17016","Marcus-Gunn pupil","9","马库斯 - 冈恩瞳孔"
"17017","Depressed visual field","9","郁闷的视野"
"17018","Macular striae","9","黄斑皮纹"
"17019","Macular scarring","9","黄斑瘢痕"
"17020","Agenesis of teeth","12","牙齿发育"
"17021","Displaced teeth","12","移位的牙齿"
"17022","Loss of bone and replacement by fibrous tissue restricted to jaw","43","骨折和由纤维组织替代仅限于下颌"
"17023","Multilocular radiolucencies in the jaw bones","43","颌骨中的多房性射线可透性"
"17024","Histology shows multiple osteoclast-like cells in a fibrous and cellular stroma","43","组织学显示纤维和细胞基质中的多个破骨细胞样细胞"
"17025","Onset 14 months to 4 years of age","73",
"17026","Progresses through puberty, then stabilizes","73",
"17027","May regress in adulthood","73",
"17028","Polyarticular chondrocalcinosis (cartilage calcification)","46","多关节软骨钙质沉着症（软骨钙化）"
"17029","Calcium pyrophsophate dihydrate (CPPD) crystal deposition (knee, symphysis pubis, wrist)","46","焦磷酸钙二水合物（CPPD）晶体沉积（膝盖，耻骨联合，手腕）"
"17030","Pseudoosteoarthritis","46","假性骨关节炎"
"17031","Pseudogout","46","假性"
"17032","Age of onset third decade","73",
"17033","Allelic to craniometaphyseal dysplasia ","73",
"17034","Dysarthria may occur","57","可能发生构音障碍"
"17035","Gait abnormalities may occur","57","可能发生步态异常"
"17036","Movements are exacerbated by anxiety","57","焦虑会加剧运动"
"17037","Severity of symptoms peak in the second decade and do not progress","57","症状的严重程度在第二个十年达到顶峰，并没有进展"
"17038","No dementia","57","没有老年痴呆症"
"17039","Mildly decreased intelligence has been reported","57","据报道，情报轻度下降"
"17040","Onset in childhood (usually before age 5 years)","73",
"17041","Allelic disorder to choreoathetosis, congenital hypothyroidism, and neonatal respiratory distress ","73",
"17042","Choreoathetosis, episodic","57","舞蹈病，偶发性"
"17043","Involuntary movements of extremities, neck, trunk, and/or face","57","四肢，颈部，躯干和/或面部的不自主运动"
"17044","Episodes begin with muscle tightening","57","剧集开始于肌肉收紧"
"17045","Myokymia","57","肌纤维抽搐"
"17046","Episodes may last less than 30 minutes or greater than several hours","57","剧集可能持续不到30分钟或大于几个小时"
"17047","Episodes typically occur several times a week","57","情节通常每周发生几次"
"17048","Symptoms precipitated by alcohol, caffeine, fatigue, stress, exertion, ovulation, menstruation","73",
"17049","Frequency and severity of symptoms do not worsen with age","73",
"17050","Clonazepam and diazepam may be effective in preventing or lessening severity","73",
"17051","Lower lip pits","11","下唇坑"
"17052","Congenital ankyloblepharon filiforme","9","先天性ankyloblepharon丝状"
"17053","Lower lip cysts","11","下唇囊肿"
"17054","Syngnathia","11","Syngnathia"
"17055","Hypoplastic vagina","38","发育不全的阴道"
"17056","Popliteal pterygium","50",
"17057","Intercrural pterygium","50",
"17058","Variable skin syndactyly fingers and toes","50",
"17059","Pyramidal skinfold of halluces","50",
"17060","Unusual distribution of pubic hair with extension to inner aspect of thigh","54",
"17061","Incidence of 1 in 300,000","73",
"17062","Short stature, moderate","2",
"17063","Delayed fontanelle closure","6","延迟囟门闭合"
"17064","Parietal bossing","6","顶尖的老板"
"17065","Anterior fontanelle open in adults","6","前囟门在成人中开放"
"17066","Metopic groove","7","正面雪貂"
"17067","Narrow, high-arched palate","11","狭窄，高拱形的口感"
"17068","Retention cysts","12","保留囊肿"
"17069","Respiratory distress in early infancy","20","婴儿早期的呼吸窘迫"
"17070","Abnormal facility in opposing the shoulders","23","与肩膀相对的异常设施"
"17071","Aplastic clavicles","24","再生障碍性锁骨"
"17072","Cervical ribs","24","颈椎肋骨"
"17073","Increased bone fragility","42","骨脆性增加"
"17074","Bossing of frontal bone","43","前额骨的压力"
"17075","Bossing of occipital bone","43","枕骨的凸起"
"17076","Bossing of parietal bone","43","顶骨的骨折"
"17077","Calvarial thickening","43","颅骨增厚"
"17078","Absent frontal sinuses","43","没有额窦"
"17079","Absent paranasal sinuses","43","缺席鼻窦"
"17080","Hypoplastic frontal sinuses","43","发育不全的额窦"
"17081","Hypoplastic paranasal sinuses","43","原发性鼻窦炎"
"17082","Delayed mineralization of pubic bone","45","耻骨的延迟矿化"
"17083","Broad femoral head with short femoral neck","45","宽股骨头，短股骨颈"
"17084","Hypoplastic iliac wing","45","发育不良的髂骨翼"
"17085","Long second metacarpal","47","长第二掌骨"
"17086","Short middle phalanges of second and fifth fingers","47","第二和第五指的短中节指骨"
"17087","Cone-shaped phalangeal epiphyses","47","锥形指骨骨骺"
"17088","Syringomyelia","58","脊髓空洞症"
"17089","One third of patients represent new mutations","73",
"17090","Tibial hemimelia (in some patients)","46","胫骨hemimelia（在一些患者中）"
"17091","Patellar hypoplasia, bilateral (in some patients)","46","髌骨发育不全，双侧（部分患者）"
"17092","No anomalies of upper limbs","46","没有上肢异常"
"17093","Talipes equinovarus (clubfoot)","48","Talipes equinovarus（马蹄足）"
"17094","Oblique talus (in some patients)","48","斜距（某些患者）"
"17095","Preaxial mirror-image polydactyly (in some patients)","48","多指的前轴镜像（在一些患者中）"
"17096","Clubfoot is bilateral in most patients","73",
"17097","Acropachy","47","杵状指"
"17098","Digital clubbing (in some patients)","48","数字夜总会（部分患者）"
"17099","Renal amyloidosis, late-onset (uncommon)","39","肾淀粉样变性，迟发性（罕见）"
"17100","Swelling of the extremities, episodic","55","四肢肿胀，间歇性"
"17101","Headache, episodic","57","头痛，发作"
"17102","Increased serum C-reactive protein, episodic","72",
"17103","Episodes occur 30 minutes to 3 hours after exposure to cold","73",
"17104","Episodes usually last 1 to 2 days","73",
"17105","See also Muckle-Wells syndrome ","73",
"17106","Sensorineural hearing loss (rare)","8","感觉神经性听力损失（罕见）"
"17107","Optic nerve coloboma","9","视神经缺损"
"17108","Optic disc dysplasia","9","视盘发育不良"
"17109","Excavation of optic disc (pits)","9","视盘开挖（坑）"
"17110","Optic disc hyperplasia","9","视盘发育不全"
"17111","Morning glory optic disc","9","牵牛花视盘"
"17112","Hypoplastic optic disc","9","发育不良的视盘"
"17113","Orbital cysts","9","眼眶囊肿"
"17114","Gliosis of optic nerve","9","视神经胶质增生"
"17115","Absent optic nerve head","9","没有视神经乳头"
"17116","Abnormal retinal pigment epithelium","9","视网膜色素上皮异常"
"17117","Abnormal retinal vessels","9","视网膜血管异常"
"17118","Chorioretinal degeneration","9","脉络膜视网膜变性"
"17119","Retinal staphyloma (rare)","9","视网膜葡萄球菌（罕见）"
"17120","Retinal edema (rare)","9","视网膜水肿（罕见）"
"17121","Macular degeneration (rare)","9","黄斑变性（罕见）"
"17122","Papillomacular detachment (rare)","9","乳头状肌脱离（罕见）"
"17123","Hyperpigmentation of the macula (rare)","9","黄斑色素沉着过度（罕见）"
"17124","Cystic degeneration of the macula (rare)","9","黄斑囊性变性（罕见）"
"17125","Posterior lens luxation (rare)","9","后透镜脱位（罕见）"
"17126","Lens opacity (rare)","9","镜片不透明度（罕见）"
"17127","Congenital anomalies of the kidney and urinary tract (CAKUT)","39","先天性肾脏和泌尿道异常（CAKUT）"
"17128","End stage renal failure","39","终末期肾功能衰竭"
"17129","Multicystic dysplastic kidneys","39","多囊性发育不良肾脏"
"17130","Medullary sponge kidney (rare)","39","髓质海绵肾（罕见）"
"17131","Nephrolithiasis (rare)","39","肾结石（罕见）"
"17132","Renal malrotation (rare)","39","肾旋转不良（罕见）"
"17133","Anomalous renal pelvis (rare)","39","异常肾盂（罕见）"
"17134","Pyeloureteral duplication (rare)","40","Pylouretelle diplate（强奸）"
"17135","Mental retardation (one patient)","57","精神发育迟滞（一名患者）"
"17136","Seizure disorder","57","癫痫症"
"17137","Arnold Chiari type I malformation","57","Arnold Chiari I型畸形"
"17138","Ocular abnormalities may be very mild","73",
"17139","End-stage renal disease (CKD Stage 5) requiring kidney transplantation is commonly reported","73",
"17140","Hearing loss, sensorineural, mid-frequency (in some patients)","8","听力丧失，感觉神经，中频（某些患者）"
"17141","Uveal coloboma","9","葡萄膜色素瘤"
"17142","Impairment of extraocular movement (in some patients)","9","眼外运动受损（某些患者）"
"17143","Ptosis (rare)","9","上睑下垂（罕见）"
"17144","Hematuria (in some patients)","39","血尿（某些患者）"
"17145","Dolichostenomelia","4",
"17146","Micrognathia (27%)","7","Micrognathia（27％）"
"17147","Crumpled ear (76%)","8","皱巴巴的耳朵（76％）"
"17148","Poorly defined conchae","8","定义不明确的conchae"
"17149","Prominent crura","8","突出的腿"
"17150","Folded helices","8","折叠的螺旋"
"17151","High-arched palate (28%)","11","高拱形口感（28％）"
"17152","Relatively short neck","13","脖子比较短"
"17153","Congenital kyphoscoliosis (45%)","44","先天性脊柱后凸（45％）"
"17154","Hip contractures (25%)","45","髋部挛缩（25％）"
"17155","Elbow contractures (86%)","46","肘部挛缩（86％）"
"17156","Knee contractures (81%)","46","膝关节挛缩（81％）"
"17157","Subluxation of patella","46","髌骨半脱位"
"17158","Ulnar deviation of fingers","47","尺骨偏离手指"
"17159","Flexion contractures of proximal interphalangeal joints","47","近端指间关节的屈曲挛缩"
"17160","Talipes equinovarus (32%)","48","Talipes equinovarus（32％）"
"17161","Hypoplastic calf muscles","55","发育不全的小腿肌肉"
"17162","Motor developmental delay","57","电机发育迟缓"
"17163","Apnea during seizures","17","癫痫发作期间呼吸暂停"
"17164","Seizures, afebrile","57","癫痫发作，无发热"
"17165","Focal clonic seizures","57","局灶性阵挛性发作"
"17166","Start with tonic posturing","57","从补品姿势开始"
"17167","Motor automatisms","57","电机自动化"
"17168","Febrile seizures may occur","57","可能发生发热性癫痫发作"
"17169","Increased risk of seizures in childhood or adulthood (11-16%)","57","儿童期或成年期癫痫发作的风险增加（11-16％）"
"17170","Normal psychomotor development","57","正常的精神运动发育"
"17171","Epileptic encephalopathy with psychomotor retardation (rare)","57","精神运动迟缓的癫痫性脑病（罕见）"
"17172","Drug-resistent seizures (rare)","57","耐药性癫痫发作（罕见）"
"17173","Finger twitching","57","手指抽搐"
"17174","EMG with spontaneous discharge of normal motor unit potentials","57","肌电图具有正常运动单位电位的自发放电"
"17175","Onset of seizures at 2-8 days of life","73",
"17176","Most remit by 6 weeks (1-6 months)","73",
"17177","Some patients may have isolated myokymia","73",
"17178","Genetic heterogeneity (see EBN2","73",
"17179","An autosomal recessive form has been reported ","73",
"17180","Most remit by 2 months","73",
"17181","Tachycardia (hereditary coproporphyria, HCP)","15","心动过速（遗传性粪便，HCP）"
"17182","Hypertension (HCP)","16","高血压（HCP）"
"17183","Respiratory paralysis (HCP)","21","呼吸麻痹（HCP）"
"17184","Hepatomegaly (harderoporphyria)","29","肝肿大（硬卟啉症）"
"17185","Splenomegaly (harderoporphyria)","32","脾肿大（硬卟啉症）"
"17186","Abdominal pain (HCP)","33","腹痛（HCP）"
"17187","Vomiting (HCP)","33","呕吐（HCP）"
"17188","Diarrhea (HCP)","33","腹泻（HCP）"
"17189","Photosensitivity (harderoporphyria and HCP)","50",
"17190","Jaundice (harderoporphyria)","50",
"17191","Acute episodes of neuropathic symptoms (HCP)","57","神经性症状的急性发作（HCP）"
"17192","Paresis (HCP)","57","麻痹（HCP）"
"17193","Anxiety (HCP)","59",
"17194","Depression (HCP)","59",
"17195","Insomnia (HCP)","59",
"17196","Disorientation (HCP)","59",
"17197","Hallucinations (HCP)","59",
"17198","paranoia (HCP)","59",
"17199","Neonatal hemolytic anemia (harderoporphyria)","63",
"17200","Decreased coproporphyrinogen oxidase activity (HCP, lymphocytes, 50% of normal)","72",
"17201","Increased coproporphyrin isomer III:I ratio (HCP, feces)","72",
"17202","Increased harderoporphyrin excretion (feces, harderoporphyria)","72",
"17203","Markedly decreased coproporphyrinogen oxidase activity (harderoporphyria, lymphocytes)","72",
"17204","Mutations in the CPO gene cause 3 clinically distinct disorders, hereditary coproporphyria (HCP), ''homozygous'' variant hereditary coproporphyria, or harderoporphyria","73",
"17205","Attacks rarely occur before puberty (HCP)","73",
"17206","Attacks precipitated by drugs, alcohol, and endocrine factors (HCP)","73",
"17207","No abdominal symptoms or neurologic symptoms in harderoporphyria","73",
"17208","Speckled corneal dystrophy (white flecks in corneal stroma)","9","有斑点的角膜营养不良（角膜基质中的白色斑点）"
"17209","Minor photophobia","9","轻微的畏光"
"17210","Normal vision","9","正常视力"
"17211","Photophobia (in some patients)","9","畏光（某些病人）"
"17212","Epiphora (in some patients)","9","Epiphora（在一些患者中）"
"17213","Decreased vision (in most patients)","9","视力下降（大多数患者）"
"17214","Corneal edema (in some patients)","9","角膜水肿（部分患者）"
"17215","Iridocorneal adhesions (in some patients)","9","Iridocorneal粘连（在一些患者中）"
"17216","Iris atrophy (in some patients)","9","虹膜萎缩（在一些患者中）"
"17217","Pupillary ectropion (in some patients)","9","瞳孔外翻（某些患者）"
"17218","Corectopia (in some patients)","9","Corectopia（在一些患者中）"
"17219","Band keratopathy (in some patients)","9","带状角膜病（某些患者）"
"17220","Vesicles at Descemet membrane","9","Descemet膜上的囊泡"
"17221","Focal opacities on posterior corneal surface","9","角膜后表面的焦点混浊"
"17222","Geographic lesions on posterior corneal surface","9","角膜后表面的地理病变"
"17223","Thickening of non-banded zone of Descemet membrane","9","Descemet膜的非带状区域增厚"
"17224","Irregular thinning of Descemet membrane (in some patients)","9","后弹力膜不规则变薄（部分患者）"
"17225","Irregular white areas on posterior surface of Descemet membrane","9","后弹力膜后表面不规则的白色区域"
"17226","Accumulation of material posterior to Descemet membrane (in some patients)","9","后弹力膜后部物质的积聚（部分患者）"
"17227","Beaten copper appearance on retroillumination","9","在逆光照射下打铜外观"
"17228","Reduced number of endothelial cells of posterior cornea","9","减少后角膜内皮细胞数量"
"17229","Abnormal morphology of endothelial cells of posterior cornea","9","角膜后部内皮细胞形态异常"
"17230","Multilayering of corneal endothelium","9","多层角膜内皮细胞"
"17231","Absence of hexagonal endothelial cell pattern in zone of specular reflection","9","在镜面反射区域中没有六边形内皮细胞图案"
"17232","Secondary glaucoma","9","继发性青光眼"
"17233","Interfamilial and intrafamilial variability in severity of symptoms","73",
"17234","Some affected family members are asymptomatic","73",
"17235","Visual acuity varies from 20/20 to no light perception","73",
"17236","Corneal dystrophy, nonprogressive","9","角膜营养不良，非进行性"
"17237","Fine punctate corneal opacities","9","细小的点状角膜混浊"
"17238","Foreign body sensation, episodic","9","异物感，发作"
"17239","Stinging","9","刺痛"
"17240","Decreased visual acuity (although vision rarely seriously impaired)","9","视力下降（虽然视力很少严重受损）"
"17241","Corneal epithelial microcysts with episodic fluorescein uptake","9","角膜上皮微囊细胞具有发作性荧光素摄取"
"17242","Polymorphic geographic deposits at Bowman's layer","9","Bowman层的多态地理沉积"
"17243","Lattice corneal dystrophy","9","格子角膜营养不良"
"17244","Recurrent corneal ulceration","9","复发性角膜溃疡"
"17245","Progressive visual impairment, mild","9","进行性视力损害，轻度"
"17246","Significant phenotypic variability","73",
"17247","Pain","9","痛"
"17248","Epiphora","9","溢泪"
"17249","Unstable refraction (in older patients)","9","屈光不稳（老年患者）"
"17250","Impaired vision (in older patients)","9","视力受损（老年患者）"
"17251","Diffuse subepithelial opacities in paracentral cornea","9","弥漫性上下角膜上皮下混浊"
"17252","Net-like pattern (in some patients)","9","网状模式（在一些患者中）"
"17253","Honeycomb pattern (in some patients)","9","蜂窝状图案（部分患者）"
"17254","Geographic pattern (in some patients)","9","地理模式（在一些患者中）"
"17255","Salzmann degeneration","9","萨尔茨曼变性"
"17256","Secondary corneal neovascularization (rare)","9","继发性角膜新生血管（罕见）"
"17257","Late recurrence after phototherapeutic keratectomy","9","光疗性角膜切除术后晚期复发"
"17258","Onset of symptoms in childhood","73",
"17259","Decrease in frequency and severity of episodes in young adulthood","73",
"17260","Dryness and impaired vision in older adults","73",
"17261","Variable phenotypic expression within same individual in each eye (in some patients)","73",
"17262","Prenatal growth retardation","2",
"17263","Conductive hearing loss to due otitis media","8","中耳炎引起的传导性听力损失"
"17264","Long curly eyelashes","9","长卷发睫毛"
"17265","Late-erupting teeth","12","牙齿晚出"
"17266","Congenital diaphragmatic hernia","21","先天性膈疝"
"17267","Hypoplastic male genitalia","35","发育不良的男性生殖器"
"17268","Structural anomalies of the renal tract","39","肾脏结构异常"
"17269","Absent/poor corticomedullary differentiation (some patients)","39","缺乏/皮质髓质分化差（部分患者）"
"17270","Pelvic dilation (some patients)","39","骨盆扩张（部分患者）"
"17271","Vesicoureteral reflux (rare)","39","膀胱输尿管反流（罕见）"
"17272","Small kidney (rare)","39","小肾（罕见）"
"17273","Isolated renal cyst (rare)","39","孤立性肾囊肿（罕见）"
"17274","Renal ectopia (rare)","39","肾异位（罕见）"
"17275","Reduced renal function (in some patients with structural anomalies)","39","肾功能降低（某些结构异常患者）"
"17276","Proteinuria (rare)","39","蛋白尿（罕见）"
"17277","Dislocation of the radial head","46","桡骨头脱位"
"17278","Phocomelia","46","短肢畸形"
"17279","Syndactyly of toes 2 and 3","48","脚趾2和3的相互矛盾"
"17280","Low-pitched, growling cry in infancy","60",
"17281","Many cases due to de novo mutation or chromosome aberration","73",
"17282","Empiric risk for a sib of an affected child between 2 and 5%","73",
"17283","Prevalence of 0.6 to 10 per 100,000 individuals","73",
"17284","Short neck (in some patients)","13","颈部短（某些患者）"
"17285","Pectus carinatum (in some patients)","24","Pectus carinatum（在一些患者中）"
"17286","Rib abnormalities","24","肋骨异常"
"17287","Missing ribs","24","缺少肋骨"
"17288","Syringomyelia (in some patients)","44","脊髓空洞症（某些患者）"
"17289","Intrafamilial variability of features","73",
"17290","A risk haplotype ","73",
"17291","Prominent mandible","7","突出的下颌骨"
"17292","Leonine facies","7","Leonine相"
"17293","Visual loss, progressive","9","视觉损失，进步"
"17294","Broad flat nasal bridge","10","宽扁鼻梁"
"17295","Difficulty breathing through the nostrils","18","通过鼻孔呼吸困难"
"17296","Respiratory obstruction","18","呼吸道阻塞"
"17297","Sclerotic ribs","24","硬化肋骨"
"17298","Increased bone mineral density","42","骨密度增加"
"17299","Hyperostosis","42","骨质增生"
"17300","Hyperostosis","43","骨质增生"
"17301","Facial bone hyperplasia","43","面部骨质增生"
"17302","Obliteration of the sinuses, middle ear cavities, internal acoustic canals, and optic nerve canals","43","鼻窦，中耳腔，内耳道和视神经管的闭塞"
"17303","Cortical sclerosis of facial bones","43","面部骨骼皮质硬化"
"17304","Cement lines","43","水泥线"
"17305","Diaphyseal sclerosis","46","干骺端硬化"
"17306","Undertubulation of the long bones of the legs","46","腿部长骨的未管状"
"17307","Often results in death in childhood","73",
"17308","Bony paranasal bossing (often regresses with age)","10","骨性鼻窦炎（通常随着年龄的增长而退化）"
"17309","Teeth malalignment","12","牙齿不对齐"
"17310","Sclerotic calvarium","43","硬化的颅骨"
"17311","Obliteration of sinuses","43","鼻窦的湮灭"
"17312","'Erlenmeyer flask' deformity of distal femur (childhood)","46","'锥形瓶'股骨远端畸形（童年）"
"17313","Club-shaped distal femur (adulthood)","46","球杆状远端股骨（成年期）"
"17314","Medially deviated, broad great toes","48","内侧偏离，宽阔的脚趾"
"17315","Cutaneous syndactyly of second and third toes","48","第二和第三脚趾的皮肤综合征"
"17316","Short, broad metatarsal","48","短而宽的跖骨"
"17317","Tarsonavicular and calcaneonavicular fusion","48","T骨导管和跟骨关节融合"
"17318","Loss of facial expression","7","失去面部表情"
"17319","Diminished visual activity","57","视觉活动减少"
"17320","Supranuclear gaze paralysis","57","超核凝视瘫痪"
"17321","Extrapyramidal muscular rigidity","57","锥体外系肌肉僵硬"
"17322","Cerebellar signs (more common in variant CJD)","57","小脑标志（在变异CJD中更常见）"
"17323","Pathology includes spongiform changes, diffuse nerve cell degeneration and glial proliferation","57","病理学包括海绵状变化，弥漫性神经细胞变性和神经胶质增生"
"17324","Brain PrP-immunoreactive amyloid plaques (in 10% if patients with sporadic CJD and in variant CJD)","57","脑PrP免疫反应性淀粉样斑块（如果患有散发性CJD和变异CJD的患者，则为10％）"
"17325","Characteristic periodic EEG complexes (only in sporadic and familial CJD, not in variant CJD)","57","特征性周期性EEG复合物（仅在散发性和家族性CJD中，而不是在变异CJD中）"
"17326","Psychiatric abnormalities (more common presentation in variant CJD)","59",
"17327","Normal cerebrospinal fluid","72",
"17328","Occasionally mild elevation of CSF protein","72",
"17329","Mean age at onset for sporadic CJD is 60 years (range, 50 to 70 years)","73",
"17330","Mean age at onset for variant CJD is 29 years (before age 45 years)","73",
"17331","Mean survival 5 months","73",
"17332","Three forms of CJD: acquired (including variant), sporadic, and inherited","73",
"17333","Incidence of all forms of CJD is 0.5 to 1.5 per million per year","73",
"17334","15% cases are familial","73",
"17335","Patients with variant CJD are homozygous for met129 polymorphism ","73",
"17336","Craniosynostosis","6","颅缝早闭"
"17337","Atretic external auditory canals","8","闭锁性外耳道"
"17338","Exposure conjunctivitis/keratitis","9","暴露性结膜炎/角膜炎"
"17339","Parrot-like nose","10","像鹦鹉一样的鼻子"
"17340","Lateral palatal swellings","11","侧腭肿胀"
"17341","Sleep apnea","18","睡眠呼吸暂停"
"17342","Dysgerminoma (in 1 patient)","38","Dysgerminoma（1名患者）"
"17343","Calcification of stylohyoid ligament","43","舌骨韧带钙化"
"17344","Cervical spine abnormalities","44","颈椎异常"
"17345","Mental retardation, occasional","57","精神发育迟滞，偶尔"
"17346","Frequent headaches","57","经常头痛"
"17347","Associated with increased paternal age","73",
"17348","Mitral valve regurgitation","15","二尖瓣反流"
"17349","Aortic valve regurgitation","15","主动脉瓣关闭不全"
"17350","Skin lacks elastic recoil","50",
"17351","Sparse, fragmented elastic fibers","51",
"17352","Onset of skin manifestations from birth to puberty","73",
"17353","Normal intrauterine growth","4",
"17354","Preauricular skin furrows","8","耳前皮肤皱纹"
"17355","Prominent umbilical stump","28","突出的脐带残端"
"17356","Prominent scrotal raphe","35","突出的阴囊中缝"
"17357","Rugose labia majora","36","Rugose主要阴唇"
"17358","Cutis gyrata","50",
"17359","Cutaneous and mucosal skin tags","50",
"17360","Furrowed palms and soles","50",
"17361","Reported cases all sporadic","73",
"17362","Increased paternal age","73",
"17363","Early death in patients with cloverleaf skull","73",
"17364","Poor prenatal growth","4",
"17365","Decreased liver function","29","肝功能下降"
"17366","Biopsy shows fibrosis","29","活组织检查显示纤维化"
"17367","Cholangitis","29","胆管炎"
"17368","Hepatosiderosis","29","铁血"
"17369","Decreased complex III activity in liver tissue","29","减少肝组织中的复杂III活性"
"17370","Renal tubulopathy","39","肾小管病变"
"17371","Brittle hair (in some patients)","54",
"17372","Decreased mitochondrial complex III activity","55","减少线粒体复合物III活性"
"17373","Other mitochondrial complex enzyme activities may also be decreased","55","其他线粒体复合酶活性也可能降低"
"17374","Mitochondrial encephalopathy","57","线粒体脑病"
"17375","Motor dysfunction","57","运动功能障碍"
"17376","White matter lesions may occur in the thalami, basal ganglia, and periventricular white matter (see Leigh syndrome,","57","白质病变可能发生在丘脑，基底神经节和脑室周围白质（见Leigh综合征，"
"17377","Coagulation defect due to decreased liver function","63",
"17378","Decreased respiratory chain complex III activity in multiple tissues","72",
"17379","May result in early death","73",
"17380","Recurrent parotid gland swelling","11","复发性腮腺肿胀"
"17381","Oral mucosal lesions (15% of patients)","11","口腔粘膜病变（15％的患者）"
"17382","Brown, warty keratotic papules (trunk, scalp, forehead, flexural areas)","50",
"17383","Palmar pits","50",
"17384","Plantar pits","50",
"17385","Odoriferous,, hypertrophic plaques","50",
"17386","Keratotic plaques (palms)","50",
"17387","Hemorrhagic palmar and plantar macules (uncommon)","50",
"17388","Acrokeratosis verruciformis-like lesions on dorsum of hands","50",
"17389","Acantholysis (cell separation) in the suprabasal layer of the epidermis with premature differentiation and hyperkeratinization of the epidermis","51",
"17390","Loss of desmosomal attachments and perinuclear aggregation of keratin filaments","52",
