"pid","location","treatment","operation","anatomy"
"192","  足小趾外侧趾甲角旁0.1寸。","  ①胎位不正，滞产；②头痛，目痛，鼻塞，鼻衄。","   浅刺0．1寸。 胎位不正用灸法。","  有趾背动脉及趾跖侧固有动脉形成的动脉网；布有趾跖侧固有神经及足背外侧皮神经。"
"193","足趾跖屈时，约当足底（去趾）前1／3凹陷处。","①昏厥，中暑，癫狂痫，小儿惊风；②头痛，头晕，目眩，失眠；③咳血，咽喉肿痛，喉痹；④大便难，小便不利；⑤奔豚气；⑥足心热。急救要穴之一。","直刺0.5～0.8寸。降邪宜用灸法或药物贴敷。","有趾短屈肌腱，趾长屈肌腱，第二蚓状肌，深层为骨间肌；有来自胫前动脉的足底弓；布有足底内侧神经支。"
"194","内踝前下方，足舟骨粗隆下缘凹陷中。","①月经不调，阴挺，阴痒，白浊；②遗精，阳痿；③消渴，腹泻，小便不利；④咳血，咽喉肿痛；⑤小儿脐风，口噤。","直刺0.5～0.8寸。","有足大趾外展肌，有跖内侧动脉及跗内侧动脉分支；布有小腿内侧皮神经末支及足底内侧神经。"
"195","内踝高点与跟腱后缘连线的中点凹陷处。","①头痛，目眩，失眠，健忘，咽喉肿痛，齿痛，耳鸣，耳聋；②咳嗽，气喘，咳血，胸痛：③消渴，小便频数，便秘；④月经不调，遗精，阳痿；⑤腰脊痛，下肢厥冷。","直刺0.5～0.8寸。","有胫后动、静脉；布有小腿内侧皮神经，当胫神经经过处。"
"196","太溪穴下0.5寸，当跟骨内侧前缘。","①痴呆；②癃闭，遗尿，便秘；③月经不调；④咳血，气喘；⑤腰脊强痛，足跟痛。","直刺0.3～0.5寸。","有胫后动脉跟内侧支；布有小腿内侧皮神经及胫神经的跟骨内侧神经。"
"197","太溪穴直下1寸，当跟骨结节内侧上缘。","①月经不调，痛经，经闭，阴挺；②小便不利。","直刺0.3～0.5寸。","有胫后动脉跟内侧支；布有小腿内侧皮神经及胫神经的跟骨内侧神经。"
"198","内踝高点正下缘凹陷处。","①失眠，癫痫；②咽喉干痛，目赤肿痛；③月经不调，带下，阴挺，小便频数，癃闭。","直刺0.5 ～0.8寸。","在足大趾外展肌的止点处；后方有胫后动、静脉；布有小腿内侧皮神经，深部为胫神经干。"
"199","太溪穴上2寸，当跟腱的前缘。","①水肿，汗证；②腹胀，腹泻；③腰脊强痛，下肢痿痹。","直刺0.5 ～1寸。","在比目鱼肌下端移行于跟腱处的内侧；前方有胫后动、静脉；布有腓肠内侧皮神经，小腿内侧皮神经，深层为胫神经。"
"200","太溪穴上2寸，胫骨内侧面后缘，约当复溜穴前0.5寸。","①月经不调，崩漏，阴挺，阴痒，疝气，五淋；②腹泻，便秘，痢疾。","直刺0.8 ～1.2寸。","在趾长屈肌中；深层为胫后动、静脉；布有小腿内侧皮神经，后方为胫神经本干。"
"201","太溪穴与阴谷穴的连线上，太溪穴直上5寸，约当腓肠肌内侧肌腹下缘处。","①癫狂；②疝气；③呕吐涎沫，吐舌；④小腿内侧痛。","直刺1～1.5寸。","在腓肠肌和趾长屈肌之间；深部有胫后动、静脉；布有腓肠内侧皮神经和小腿内侧皮神经，深部为胫神经干。"
"202","屈膝，腘窝内侧，当半腱肌腱与半膜肌腱之间。","①癫狂；②阳痿，月经不调，崩漏，小便不利；③膝股内侧痛。","直刺1～1.5寸。","在半腱肌和半膜肌之间；有膝上内侧动、静脉；布有股内侧皮神经。"
"203","脐下5寸，耻骨联合上际，前正中线旁开0.5寸。","①少腹胀痛；②小便不利，遗尿，遗精，阳痿；③疝气。","直刺1～1.5寸。","有腹内、外斜肌腱膜，腹横肌腱膜和腹直肌；有腹壁下动、静脉及阴部外动脉；布有髂腹下神经分支。"
"204","脐下4寸，前正中线旁开0.5寸。","遗精，阳痿，阴挺，带下。","直刺1～1.5寸。","有腹内、外斜肌腱膜，腹横肌腱膜和腹直肌；有腹壁下动、静脉肌支；布有第十二肋间神经及髂腹下神经。"
"205","脐下3寸，前正中线旁开0.5寸。","①奔豚气；②月经不调，带下；③小便不利；④腹泻。","直刺1～1.5寸。","在腹内、外斜肌腱膜，腹横肌腱膜和腹直肌中；有腹壁下动、静脉肌支；布有第十二肋间神经及髂腹下神经。"
"206","脐下2寸，前正中线旁开0.5寸。","①月经不调，崩漏，带下，产后恶露不净；②遗精，小腹痛；③脐下积、聚、疝、瘕，水肿。","直刺1～1.5寸。利水多用灸法。","肌肉、血管同大赫，布有第十一肋间神经。"
"207","脐下1寸，前正中线旁开0.5寸。","月经不调，腹痛，便秘，腹泻。","直刺1～1.5寸。","肌肉、血管同大赫，布有第十肋间神经。"
"208","脐旁0.5寸。","①腹痛，腹胀，腹泻，便秘；②月经不调；③疝气。","直刺1～1.5寸。","肌肉、血管同大赫，布有第十肋间神经。"
"209","脐上2寸，前正中线旁开0.5寸。","胃痛，腹痛，腹胀，腹泻，便秘，腹中积聚。","直刺1～1.5寸。","在腹直肌内缘，有腹壁上动、静脉分支；布有第九肋间神经。"
"210","脐上3寸，前正中线旁开0.5寸。","①胃痛，呕吐，腹痛，腹胀，便秘；②不孕。","直刺1～1.5寸。","在腹直肌内缘，有腹壁上动、静脉分支；布有第九肋间神经。"
"211","脐上4寸，前正中线旁开0.5寸。","胃痛，腹胀，便秘。","直刺1～1.5寸。","在腹直肌内缘，有腹壁上动、静脉分支；布有第八肋间神经。"
"212","脐上5寸，前正中线旁开0.5寸。","①腹痛，腹胀，胃痛，呕吐；②心痛，心悸，胸痛。","直刺0.5～1寸。","在腹直肌内缘，有腹壁上动、静脉分支；布有第八肋间神经。"
"213","脐上6寸，前正中线旁开0.5寸。","善哕，呕吐，腹痛，腹胀，腹泻。","直刺0.5～1寸。不可向上深刺，以免伤及内脏。","在腹直肌内缘，有腹壁上动、静脉分支；布有第七肋间神经。"
"214","第五肋间隙，前正中线旁开2寸。","胸痛，咳嗽，气喘，乳痈。","斜刺或平刺0.5～0.8寸，不可深刺，以免伤及心、肺。","在胸大肌起始部，有肋间外韧带及肋间内肌；有第五肋间动、静脉；布有第五肋间神经前皮支，深部为第五肋间神经。"
"215","第四肋间隙，前正中线旁开2寸。","胸胁支满，咳嗽，气喘，乳痈。","斜刺或平刺0.5～0.8寸，不可深刺，以免伤及心、肺。","在胸大肌中，有肋间外韧带及肋间内肌；有第四肋间动、静脉；布有第四肋间神经前皮支，深部为第四肋间神经。"
"216","第三肋间隙，前正中线旁开2寸。","胸胁支满，咳嗽，气喘，乳痈。","斜刺或平刺0.5～0.8寸，不可深刺，以免伤及心、肺。","在胸大肌中，有肋间外韧带及肋间内肌；有第三肋间动、静脉；布有第三肋间神经前皮支，深部为第三肋间神经。"
"217","第二肋间隙，前正中线旁开2寸。","胸胁支满，咳嗽，气喘，乳痈。","斜刺或平刺0.5～0.8寸，不可深刺，以免伤及心、肺。","在胸大肌中，有肋间外韧带及肋间内肌；有第二肋间动、静脉；布有第二肋间神经前皮支，深部为第二肋间神经。"
"218","第一肋间隙，前正中线旁开2寸。","胸胁支满，咳嗽，气喘，痰涌。","斜刺或平刺0.5～0.8寸，不可深刺，以免伤及心、肺。","在胸大肌中，有肋间外韧带及肋间内肌；有第一肋间动、静脉；布有第一肋间神经前皮支，深部为第一肋间神经，皮下有锁骨上神经前支。"
"219","锁骨下缘，前正中线旁开2寸。","咳嗽，气喘，胸痛。","斜刺或平刺0.5～0.8寸，不可深刺，以免伤及心、肺。","在胸大肌中，有胸内动、静脉的前穿支；布有锁骨上神经前支。"
"220","乳头外侧1寸，当第四肋间隙中。","①咳嗽，痰多，胸闷，气喘，胸痛；②乳痈；③瘰疬。","斜刺或平刺0.3～0.5寸，不可深刺，以免伤及心、肺。","在胸大肌外下部，胸小肌下部起端，深部为第四肋间内、外肌；有胸腹壁静脉，胸外侧动、静脉分支；布有胸前神经肌支及第四肋间神经。"
"221","腋前纹头下2寸，肱二头肌长、短头之间。","①心痛，咳嗽，胸胁胀满；②胸背及上臂内侧痛。","直刺1～1.5寸。","在肱二头肌的长短头之间；有肱动、静脉肌支；布有臂内侧皮神经及肌皮神经。"
"222","肘微屈，肘横纹中，肱二头肌腱尺侧缘。","①心痛，心悸，善惊；②胃痛，呕血，呕吐；③暑热病；④肘臂挛痛。","直刺1～1.5寸；或点刺出血。","在肱二头肌腱的尺侧；当肱动、静脉处；布有正中神经的主干。"
"223","腕横纹上5寸，掌长肌腱与桡侧腕屈肌腱之间。","①心痛，心悸，心烦胸痛；②咳血，呕血，衄血；③疔疮；④癫痫。","直刺0.5～1寸。","在桡侧腕屈肌腱与掌长肌腱之间，有指浅屈肌，深部为指深屈肌；有前臂正中动、静脉，深部为前臂掌侧骨间动、静脉；布有前臂内侧皮神经，其下为正中神经，深层有前臂掌侧骨间神经。"
"224","腕横纹上3寸，掌长肌腱与桡侧腕屈肌腱之间。","①心痛，心悸；②胃痛，呕吐；③热病，疟疾；④癫狂痫。","直刺0.5～1寸。","在桡侧腕屈肌腱与掌长肌腱之间，有指浅屈肌，深部为指深屈肌；有前臂正中动、静脉，深部为前臂掌侧骨间动、静脉；布有前臂内侧皮神经，其下为正中神经，深层有前臂掌侧骨间神经。"
"225","腕横纹上2寸，掌长肌腱与桡侧腕屈肌腱之间。","①心痛，心悸：②胃痛，呕吐，呃逆，③胁痛，胁下痞块；③中风，失眠，眩晕，郁证，癫狂痫，偏头痛；④热病；⑤肘臂挛痛。","直刺0.5～1寸。","在桡侧腕屈肌腱与掌长肌腱之间，有指浅屈肌，深部为指深屈肌；有前臂正中动、静脉，深部为前臂掌侧骨间动、静脉；布有前臂内侧皮神经，其下为正中神经，深层有前臂掌侧骨间神经。"
"226","腕横纹中央，掌长肌腱与桡侧腕屈肌腱之间。","①心痛，心悸；②胃痛，呕吐，口臭；③胸胁满痛：④喜笑悲恐，癫狂痫；⑤臂、手挛痛。","直刺0.3～0.5寸。","在掌长肌腱与桡侧腕屈肌腱之间，有拇长屈肌和指深屈肌腱；有腕掌侧动、静脉网；布有前臂内侧皮神经，正中神经掌皮支，深层为正中神经本干。"
"227","掌心横纹中，第二、三掌骨中间。简便取穴法：握拳，中指尖下是穴。","①中风昏迷，中暑；②心痛，烦闷，癫狂痫；③口疮，口臭；④鹅掌风。","直刺0.3～0.5寸。为急救要穴之一。","在第二掌骨间，下为掌腱膜，第二蚓状肌及指浅、深屈肌腱，深层为拇指内收肌横头的起点，有骨间肌；有指掌侧总动脉；布有正中神经的第二指掌侧总神经。"
"228","中指尖端的中央。","①中风昏迷，舌强不语，中暑，昏厥，小儿惊风；②热病。","浅刺0.1寸；或点刺出血。为急救要穴之一。","有指掌侧固有动静脉所形成的动、静脉网；为正中神经的指掌侧固有神经分布处。"
"229","无名指尺侧指甲根角旁0.1寸。","①头痛，目赤，耳鸣，耳聋，喉痹，舌强；②热病，心烦。","浅刺0.1寸；或点刺出血。为急救要穴之一。","有指掌侧固有动、静脉所形成的动、静脉网；布有尺神经的指掌侧固有神经。"
"230","第四、五掌指关节之间的前缘凹陷中。","①头痛，目赤，耳鸣，耳聋，喉痹；②疟疾；③手臂痛。","直刺0.3～0.5寸。","有来自尺动脉的指背动脉；布有来自尺神经的手背支。"
"231","手背，第四、五掌骨小头后缘之间凹陷中，当液门穴后1寸。","①头痛，目赤，耳鸣，耳聋，喉痹；②热病；③肩背肘臂酸痛，手指不能屈伸。","直刺0.3～0.5寸。","有第四骨间肌；皮下有手背静脉网及第四掌背动脉；布有来自尺神经的手背支。"
"232","腕背横纹中，指总伸肌腱尺侧缘凹陷中。","①目赤肿痛，耳聋，喉痹：②消渴，口干；③腕痛，肩臂痛。","直刺0.3～0.5寸。","有皮下手背静脉网，第四掌背动脉；布有尺侧神经手背支及前臂背侧皮神经末支。"
"233","腕背横纹上2寸，尺骨与桡骨正中间。","①热病：②头痛，目赤肿痛，耳鸣，耳聋：③瘰疬，胁肋痛；④上肢痿痹不遂。","直刺0.5～1寸。","在桡骨于尺骨之间，指总深肌与拇长伸肌之间；深层有前臂骨间背侧动脉和掌侧动、静脉；布有前臂背侧皮神经，深层有前臂骨间背侧神经及掌侧神经。"
"234","腕背横纹上3寸，尺骨与桡骨正中间。","①便秘；②耳鸣，耳聋，暴喑；③瘰疬，胁肋疼痛；④热病。","直刺0.5～1寸。","在桡骨于尺骨之间，指总深肌与拇长伸肌之间；深层有前臂骨间背侧动脉和掌侧动、静脉；布有前臂背侧皮神经，深层有前臂骨间背侧神经及掌侧神经。"
"235","支沟穴尺侧约1寸，当尺骨桡侧缘。","耳聋，痫证，上肢肌肤痛。","直刺0.5～1寸。","在尺骨桡侧缘，在小指固有伸肌和尺侧腕伸肌之间；深层有前臂骨间背侧动、静脉；布有前臂背侧皮神经，深层有前臂骨间背侧神经及骨间掌侧神经。"
"236","支沟穴上1寸，尺骨与桡骨之间。","耳聋，暴喑，齿痛，手臂痛。","直刺0.5～1寸。","在指总伸肌与拇长展肌起端之间；有前臂骨间背侧动、静脉；布有前臂背侧皮神经，深层有前臂骨间背侧神经。"
"237","尺骨鹰嘴下5寸，尺骨与桡骨之间。","耳聋，暴喑，齿痛，手臂痛。","直刺0.5～1寸。","在指总伸肌与尺侧腕伸肌之间；深层有前臂骨间背侧动、静脉；布有前臂背侧皮神经，深层有前臂骨间背侧神经。"
"238","屈肘，尺骨鹰嘴上1寸凹陷中。","①耳聋；②癫痫；③瘰疬，瘿气；④偏头痛，胁肋痛，颈项肩臂痛。","直刺0.5～1寸。","在肱骨下端后面鹰嘴握中，有肱三头肌腱；有肘关节动、静脉网；布有前臂背侧皮神经和桡神经肌支。"
"239","屈肘，天井穴上1寸。","头痛，目黄，肩臂痛不能举。","直刺0.8～1.2寸。","在肱三头肌下部；有中侧副动、静脉末支；布有前臂背侧皮神经和桡神经肌支。"
"240","肩髎穴与天井穴连线上，清冷渊穴上3寸。","头痛，赤痛，项背痛。","直刺1～1.5寸。","在肱三头肌肌腹之间；有中侧副动、静脉末支；布有前臂背侧皮神经和桡神经肌支。"
"241","肩髎穴与天井穴连线上，肩髎穴下3寸，三角肌后缘。","①瘰疬；②瘿气；③上肢痹痛。","直刺1～1.5寸。","在肱三头肌长头与外侧头之间；有中侧副动、静脉末支；布有前臂背侧皮神经和桡神经肌支，深层为桡神经。"
"242","肩峰后下方，上臂外展时，当肩髃穴后寸许凹陷中。","肩臂挛痛不遂。","直刺1～1.5寸。","在肩峰后下方，三角肌中；有旋肱后动脉肌支；布有腋神经的肌支。"
"243","肩井穴与曲垣穴连线的中点，当肩胛骨上角凹陷处。","肩臂痛，颈项强急。","直刺0.5～1寸。","有斜方肌、冈上肌；有静横动脉降支，深层为肩胛上动脉肌支；布有第一胸神经后支外侧皮支，副神经，深层为肩胛上神经肌支。"
"244","乳突后下方，胸锁乳突肌后缘，平下颌角处。","①头痛，头眩，项强，目不明，暴聋，鼻衄，喉痹；②瘰疬；③肩背痛。","直刺0.5～1寸。","在胸锁乳突肌止部后缘；有枕动脉肌支，耳后动、静脉及颈后浅静脉；布有枕小神经本干，深层为副神经，颈神经。"
"245","乳突前下方与耳垂之间的凹陷中。","①耳鸣，耳聋：②口眼歪斜，牙关紧闭，颊肿；③瘰疬。","直刺0.5～1寸。","有耳后动、静脉，颈外浅静脉；布有耳大神经，深层为面神经干从茎乳突穿出处。"
"246","耳后，当翳风穴与角孙穴沿耳轮连线的下1／3与上2／3交界处。","①头痛，耳鸣，耳聋；③小儿惊风。","平刺0.3～0.5寸；或点刺静脉出血。","在耳后肌上；有耳后动、静脉；布有耳大神经耳后支。"
"247","耳后，当翳风穴与角孙穴沿耳轮连线的上1／3与下2／3交界处。","①头痛，耳鸣，耳聋；③小儿惊风。","平刺0.3～0.5寸。","有耳后动、静脉；布有耳大神经和枕小神经的吻合支。"
"248","当耳尖发际处。","①头痛，项强；②目赤肿痛，目翳；③齿痛，颊肿。","平刺0.3～0.5寸。","有耳上肌；颞浅动、静脉耳前支；布有耳颞神经分支。"
"249","耳屏上切迹前，下颌骨髁状突后缘，张口有孔。","①耳鸣，耳聋，聤耳；②齿痛，头颔痛。","微张口，直刺0.5～1寸。","有颞浅动、静脉耳前支；布有耳颞神经，面神经分支。"
"250","鬓发后际，平耳廓根前，当颞浅动脉后缘。","①头痛，耳鸣；②牙关紧闭，口歪。","避开动脉，平刺0.3～0.5寸。","有颞肌和颞浅动、静脉；布有耳颞神经分支，面神经颞支。"
"251","眉梢的凹陷处。","①癫痫；②头痛，眩晕，目赤肿痛，眼睑瞤动；③齿痛。","平刺0.3～0.5寸。","有眼轮匝肌；颞浅动、静脉额支；布有面神经颧眶支及耳颞神经分支。"
"252","目外眦外侧0.5寸，眶骨外缘凹陷中。","①头痛；②目赤肿痛，羞明流泪，内障，目翳等目疾。","平刺0.3～0.5寸。或三棱针点刺出血。","有眼轮匝肌，深层为颞肌；当颧眶动、静脉分布处；布有颧面神经和颧颞神经，面神经的额颞支。"
"253","耳屏间切迹前，下颌骨髁状突后缘，张口有孔。","①耳鸣，耳聋，聤耳；②齿痛，口眼歪斜。","微张口，直刺0.5～0.8寸。","有颞浅动脉耳前支，深部为颈外动脉及面后静脉；布有耳大神经，皮下为面神经。"
"254","下关穴直上，颧弓上缘。","①耳鸣，耳聋，聤耳；②齿痛，面痛，口眼歪斜，口噤。","直刺0.3～0.5寸。","在颞肌中；有颧眶动、静脉；布有面神经的颧眶支及三叉神经小分支。"
"255","头维穴与曲鬓穴弧形连线的上1／4与下3／4交界处。","①头痛，眩晕；②惊痫，瘈疭；③耳鸣，目外眦痛，齿痛。","平刺0.5～0.8寸。","在颞肌中；有颞浅动、静脉额支；布有耳颞神经颞支。"
"256","头维穴与曲鬓穴弧形连线的中点。","偏头痛，目赤肿痛，齿痛。","平刺0.5～0.8寸。","在颞肌中；有颞浅动、静脉额支；布有耳颞神经颞支。"
"257","头维穴与曲鬓穴弧形连线的下1／4与上3／4交界处。","偏头痛，目赤肿痛，耳鸣。","平刺0.5～0.8寸。","在颞肌中；有颞浅动、静脉额支；布有耳颞神经颞支。"
"258","耳前鬓发后缘直上，平角孙穴。","头痛连齿，颊颔肿，口噤。","平刺0.5～0.8寸。","在颞肌中；有颞浅动、静脉额支；布有耳颞神经颞支。"
"259","耳尖直上，入发际1.5寸。","①头痛，眩晕；②小儿急、慢惊风。","平刺0.5～0.8寸。","在颞肌中；有颞动、静脉顶支；布有耳颞神经和枕大神经会合支。"
"260","耳根后缘直上，入发际2寸。","①头痛，癫痫；②牙龈肿痛。","平刺0.5～0.8寸。","有耳后动、静脉；布有耳大神经支。"
"261","耳根上缘向后入发际横量1寸。","①头痛，耳鸣，耳聋，齿痛；②瘿气。","平刺0.5～0.8寸。","有耳后动、静脉；布有耳大神经分支。"
"262","乳突后上缘，当浮白穴与完骨穴的连线上。","①头痛，眩晕，颈项强痛；②耳鸣，耳聋。","平刺0.5～0.8寸。","有耳后动、静脉；布有枕大神经和枕小神经会合支。"
"263","耳后，乳突后下方凹陷处。","①癫痫，头痛，颈项强痛；②喉痹，颊肿，齿痛，口歪。","平刺0.5～0.8寸。","在胸锁乳突肌附着部上方，有耳后动、静脉分支；布有枕小神经本干。"
"264","入前发际0.5寸，督脉（神庭）穴旁开3寸。","①癫痫，小儿惊风，中风；②头痛，目眩。","平刺0.5～0.8寸。","在额肌中；有颞浅动、静脉额支和额动、静脉外侧支；布有额神经外侧支。"
"265","目正视，瞳孔直上，眉上1寸。","①头痛；②目眩，目痛，视物模糊，眼睑瞤动。","平刺0.5～0.8寸。","在额肌中；有额动、静脉外侧支；布有额神经外侧支。"
"266","目正视，瞳孔与风池穴连线上，入前发际0.5寸。","①头痛；②目痛，目眩，流泪，目翳；③鼻塞，鼻渊，④小儿惊痫。","平刺0.5～0.8寸。","在额肌中；有额动、静脉；布有额神经内、外支会合支。"
"267","目正视，瞳孔与风池穴连线上，头临泣穴后1寸。","①头痛；②目痛，目眩，远视，近视；③小儿惊痫。","平刺0.5～0.8寸。","在帽状腱膜中；有颞浅动、静脉额支；布有额神经内、外侧支会合支。"
"268","目正视，瞳孔与风池穴连线上，目窗穴后1寸。","头痛，头晕，目眩。","平刺0.5～0.8寸。","在帽状腱膜中；有颞浅动、静脉顶支和枕动、静脉吻合网；布有额神经和枕大神经会合支。"
"269","目正视，瞳孔与风池穴连线上，正营穴后1.5寸。","①头痛，眩晕，目痛；②鼻渊，鼻衄，鼻窒，多涕。","平刺0.5～0.8寸。","在帽状腱膜中；有枕动、静脉分支；布有枕大神经分支。"
"270","目正视，瞳孔与风池穴连线上，承灵穴后1.5寸，与督脉脑户穴相平处。","①热病；②头痛，颈项强痛；③目眩，目赤肿痛，鼻痛，耳聋；④惊悸，癫痫。","平刺0.5～0.8寸。","在枕肌中；有枕动、静脉分支；布有枕大神经分支。"
"271","胸锁乳突肌与斜方肌上端之间的凹陷中，平风府穴。","①中风，癫痫，头痛，眩晕，耳鸣等内风为患者；②感冒，鼻塞，鼽衄，目赤肿痛，羞明流泪，耳聋，口眼歪斜等外风为患者；③颈项强痛。","针尖微下，向鼻尖斜刺0.8～1.2寸，或平刺透风府穴。深部中间为延髓，必须严格掌握针刺的角度与深度。","在胸锁乳突肌与斜方肌上端附着部之间的凹陷中，深部为头夹肌；有枕动、静脉分支；布有枕小神经分支。"
"272","肩上，大椎穴与肩峰连线的中点。","①颈项强痛，肩背疼痛，上肢不遂；②难产，乳痈，乳汁不下；③瘰疬。","直刺0.5～0.8寸。内有肺尖，慎不可深刺；孕妇禁针。","有斜方肌，深部为肩胛提肌与冈上肌；有颈横动、静脉分支；布有腋神经分支，深部上方为桡神经。"
"273","举臂，腋中线上，第四肋间隙。","①胸满，胁痛；②上肢痹痛，腋下肿。","斜刺或平刺0.5～0.8寸，不可深刺，以免伤及脏器。","有前锯肌和肋间内、外肌；有胸腹壁静脉，胸外侧动、静脉及第四肋间动、静脉；布有第四肋间神经外侧皮支，胸长神经分支。"
"274","渊腋穴前1寸，第四肋间隙。","①胸满，气喘；②胁痛，呕吐，吞酸；③腋肿，肩背痛。","斜刺或平刺0.5～0.8寸，不可深刺，以免伤及脏器。","在胸大肌外缘，有前锯肌和肋间内、外肌；有胸外侧动、静脉；布有第四肋间神经外侧皮支。"
"275","乳头直下，第七肋间隙。","①黄疸，呕吐，吞酸，呃逆等胆府病；②胁痛。","斜刺或平刺0.5～0.8寸，不可深刺，以免伤及脏器。","有肋间内、外肌，肋下缘有腹外斜肌腱膜，腹内斜肌，腹横肌；有第七肋间动、静脉；布有第七或第八肋间神经。"
"276","侧卧，第十二肋游离端下际处。","①小便不利，水肿；②腹胀，肠鸣，腹泻；③腰痛，胁痛。","直刺0.5～1寸。","有腹内、外斜肌及腹横肌；有第十一肋间动、静脉；布有第十一肋间神经。"
"277","侧腹，第十一肋骨游离端直下平脐处。","①月经不调，闭经，赤白带下；②疝气；③腰痛，胁痛。","直刺1～1.5寸。","有腹内、外斜肌及腹横肌；有第十二肋间动、静脉；布有第十二肋间神经。"
"278","侧腹，髂前上棘前0.5寸，约平脐下3寸处。","①阴挺，赤白带下，月经不调；②疝气；③少腹痛，腰胯痛。","直刺1～1.5寸。","有腹内、外斜肌及腹横肌；有旋髂浅、深动、静脉；布有髂腹下神经。"
"279","五枢穴前下方0.5寸。","①阴挺，赤白带下，月经不调；②疝气；③少腹痛，腰胯痛。","直刺或向前下方斜刺1～1.5寸。","在髂前上棘内前方，有腹内、外斜肌及腹横肌；有旋髂浅、深动、静脉；布有髂腹股沟神经。"
"280","侧卧，髂前上棘与股骨大转子高点连线的中点处。","①腰腿痹痛，瘫痪；②疝气，少腹痛。","直刺1～1.5寸。","浅层为阔筋膜张肌，深部为股外侧肌；有旋髂浅动、静脉分支及旋股外侧动静脉升支；布有股外侧皮神经。"
"281","侧卧屈股，当股骨大转子高点与骶管裂孔连线的外1／3与内2／3交界处。","①腰胯疼痛，下肢痿痹，半身不遂；②遍身风疹。","直刺2～3寸。","在臀大肌、梨状肌下缘；内侧为臀下动、静脉；布有臀下皮神经，臀下神经，深部正当坐骨神经。"
"282","大腿外侧正中，腘横纹上7寸。或垂手直立时，中指尖下是穴。","①下肢痿痹、麻木，半身不遂；②遍身瘙痒。","直刺1～1.5寸。","在阔筋膜下，股外侧肌中；有旋股外侧动、静脉肌支；布有股外侧皮神经，股神经肌支。"
"283","大腿外侧正中，腘横纹上5寸。","下肢痿痹、麻木，半身不遂。","直刺1～1.5寸。","在阔筋膜下，股外侧肌中；有旋股外侧动、静脉肌支；布有股外侧皮神经，股神经肌支。"
"284","阳陵泉上3寸，股骨外上髁外上方凹陷中。","膝腘肿痛、挛急，小腿麻木。","直刺1～1.5寸。","在髂胫束后方，股二头肌腱前方；有膝上外侧动、静脉；布有股外侧皮神经末支。"
"285","腓骨小头前下方凹陷中。","①黄疸，胁痛，口苦，呕吐，吞酸等胆腑病；②膝肿痛，下肢痿痹、麻木；③小儿惊风。","直刺1～1.5寸。","在腓骨长、短肌中；有膝下外侧动、静脉；当腓总神经分为腓浅神经及腓深神经处。"
"286","外踝高点上7寸，腓骨后缘。","①惊狂，癫痫，瘈疭；②胸胁满痛；③下肢痿痹。","直刺0.5～0.8寸。","在腓骨长肌附着部；有腓动、静脉分支；布有腓肠外侧皮神经。"
"287","外踝高点上7寸，腓骨前缘。","①癫狂；②胸胁胀满；③下肢痿痹。","直刺0.5～0.8寸。","在腓骨长肌和趾总伸肌之间，深层为腓骨短肌；有胫前动、静脉肌支；布有腓浅神经。"
"288","外踝高点上5寸，腓骨前缘。","①目痛，夜盲；②胸乳胀痛；③下肢痿痹。","直刺0.5～0.8寸。","在趾长伸肌和腓骨短肌之间；有胫前动、静脉分支；布有腓浅神经。"
"289","外踝高点上4寸，腓骨前缘稍前处。","①偏头痛，目外眦痛，咽喉肿痛，腋下肿痛，胸胁满痛；②瘰疬；③下肢痿痹。","直刺0.5～0.8寸。","在趾长伸肌和腓骨短肌之间；有胫前动、静脉分支；布有腓浅神经。"
"290","外踝高点上3寸，腓骨后缘。","①痴呆，中风，半身不遂；②颈项强痛，胸胁满痛，下肢痿痹。","直刺0.5～0.8寸。","在腓骨短肌与趾长伸肌分歧处；有胫前动、静脉分支；布有腓浅神经。"
"291","外踝前下方，趾长伸肌腱的外侧凹陷中。","①目赤肿痛，目生翳膜；②颈项痛，腋下肿，胸胁痛，外踝肿痛；③下肢痿痹。","直刺0.5～0.8寸。","在趾短伸肌起点处；有外踝前动、静脉分支；布有足背外侧皮神经分支及腓浅神经分支。"
"292","第四、五跖骨结合部的前方凹陷处，足小趾伸肌腱的外侧。","①偏头痛，目赤肿痛，胁肋疼痛，足跗疼痛；②月经不调，乳痈：③瘰疬。","直刺0.5～0.8寸。","有足背静脉网，第四跖背侧动、静脉；布有足背中间皮神经。"
"293","第四、五跖骨间，当小趾伸肌腱的内侧缘处。","①头痛，目赤肿痛，耳鸣，耳聋；②乳痈；③腋肿，胁痛，足跗肿痛。","直刺0.5～0.8寸。","有足背静脉网，第四跖背侧动、静脉；布有足背中间皮神经。"
"294","足背，第四、五趾间纹头上凹陷处。","①惊悸；②头痛，眩晕，耳鸣，耳聋；③颊肿，目外眦赤痛，胁肋疼痛，膝股痛，足跗肿痛；③乳痈。","直刺0.3～0.5寸。","有趾背侧动、静脉；布有足背中间皮神经的趾背侧神经。"
"295","第四趾外侧趾甲根角旁0.1寸。","①头痛，目赤肿痛，耳鸣，耳聋，咽喉肿痛；②胸胁痛，足跗肿痛。","浅刺0.1寸，或点刺出血。","有趾背侧动、静脉，跖趾侧动、静脉形成的动、静脉网；布有趾背侧神经。"
